RCPT_YR,CGG_CD,CGG_NM_EN,STDG_CD,STDG_NM,LOTNO_SE,LOTNO_SE_NM,MNO,SNO,CTRT_DAY,THING_AMT,ARCH_AREA,LAND_AREA,FLR,RGHT_SE,RTRCN_DAY,ARCH_YR,BLDG_USG,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM,CODE,BLDG_NM,CGG_NM
2025,11500,Gangseo-gu,10300,Hwagok-dong,1.0,Land,55.0,38.0,2025-03-28,13500,29.98,17.0,2.0,,,2012.0,Multiplex House,Brokerage Transaction,서울 강서구,1150010300,St. Bill (55-38),강서구
2025,11530,Guro-gu,10800,Oryu-dong,1.0,Land,3.0,20.0,2025-03-28,15000,61.73,32.0,-1.0,,,2001.0,Multiplex House,Direct Transaction,,1153010800,Rural villa,구로구
2025,11500,Gangseo-gu,10100,Yeomchang-dong,1.0,Land,266.0,12.0,2025-03-28,25500,28.69,36.85,15.0,,,2018.0,Officetel,Brokerage Transaction,서울 양천구,1150010100,Hanbit Fish Ban News Story,강서구
2025,11500,Gangseo-gu,10300,Hwagok-dong,1.0,Land,504.0,55.0,2025-03-27,25900,69.8,34.0,2.0,,,2007.0,Multiplex House,Direct Transaction,,1150010300,Venus Mansion,강서구
2025,11545,Geumcheon-gu,10200,Doksan-dong,1.0,Land,183.0,1.0,2025-03-27,53000,84.87,0.0,12.0,,,1997.0,Apartment,Brokerage Transaction,서울 금천구,1154510200,Doksan Dong -A Apartment,금천구
2025,11440,Mapo-gu,12700,Sangam-dong,1.0,Land,1734.0,0.0,2025-03-27,10300,19.93,25.83,3.0,,,2013.0,Officetel,Brokerage Transaction,서울 마포구,1144012700,Sangam Hanwha Obelisk,마포구
2025,11500,Gangseo-gu,10300,Hwagok-dong,1.0,Land,1040.0,0.0,2025-03-27,26000,31.95,18.0,2.0,,,2019.0,Multiplex House,Brokerage Transaction,서울 강서구,1150010300,Habicville,강서구
2025,11560,Yeongdeungpo-gu,11300,Dangsan-dong 3(sam)-ga,1.0,Land,395.0,21.0,2025-03-27,27900,27.73,12.0,4.0,,,2018.0,Multiplex House,Brokerage Transaction,서울 영등포구,1156011300,High castle,영등포구
2025,11290,Seongbuk-gu,13500,Jongam-dong,1.0,Land,130.0,0.0,2025-03-27,67000,55.27,0.0,1.0,,,2004.0,Apartment,Brokerage Transaction,서울 성북구,1129013500,I -Park Jongam -dong 1st,성북구
2025,11440,Mapo-gu,12500,Seongsan-dong,1.0,Land,593.0,1.0,2025-03-27,12700,16.69,24.53,15.0,,,2017.0,Officetel,Brokerage Transaction,서울 마포구,1144012500,Byucksan Sangam Smart Cube,마포구
2025,11380,Eunpyeong-gu,10200,Nokbeon-dong,1.0,Land,35.0,87.0,2025-03-27,16000,84.67,24.0,4.0,,,2003.0,Multiplex House,Brokerage Transaction,서울 은평구,1138010200,Aram Everville (35-87),은평구
2025,11350,Nowon-gu,10300,Gongneung-dong,1.0,Land,751.0,0.0,2025-03-27,50000,81.12,0.0,8.0,,,2003.0,Apartment,Direct Transaction,,1135010300,Daeju Parkville Apartment,노원구
2025,11230,Dongdaemun-gu,11000,Imun-dong,3.0,Block,257.0,42.0,2025-03-27,93622,59.95,0.0,4.0,Pre-sale Right,,0.0,Apartment,Brokerage Transaction,서울 동대문구,1123011000,Raemian Lagrande,동대문구
2025,11305,Gangbuk-gu,10300,Suyu-dong,1.0,Land,289.0,4.0,2025-03-27,20000,46.6,25.0,4.0,,,2013.0,Multiplex House,Brokerage Transaction,서울 강북구,1130510300,Samsung Ecoville,강북구
2025,11230,Dongdaemun-gu,10600,Jangan-dong,1.0,Land,364.0,9.0,2025-03-27,32000,58.1,71.17,2.0,,,2012.0,Officetel,Direct Transaction,,1123010600,Tasol Tower,동대문구
2025,11590,Dongjak-gu,10200,Sangdo-dong,1.0,Land,521.0,0.0,2025-03-27,140000,84.995,0.0,7.0,,,2007.0,Apartment,Brokerage Transaction,서울 동작구,1159010200,POSCO,동작구
2025,11740,Gangdong-gu,10100,Myeongil-dong,1.0,Land,312.0,168.0,2025-03-27,26500,40.63,20.0,2.0,,,2013.0,Multiplex House,Brokerage Transaction,서울 강동구,1174010100,(312-168),강동구
2025,11740,Gangdong-gu,10900,Cheonho-dong,1.0,Land,21.0,48.0,2025-03-27,37000,38.5,26.0,3.0,,,2018.0,Multiplex House,Brokerage Transaction,서울 강동구,1174010900,Sufia 2nd,강동구
2025,11545,Geumcheon-gu,10200,Doksan-dong,1.0,Land,1131.0,0.0,2025-03-27,52000,84.74,0.0,17.0,,,1996.0,Apartment,Brokerage Transaction,서울 금천구,1154510200,Life,금천구
2025,11650,Seocho-gu,10800,Seocho-dong,1.0,Land,1595.0,2.0,2025-03-27,13500,30.0,36.3,12.0,,,1990.0,Officetel,Brokerage Transaction,서울 강남구,1165010800,(1595-2),서초구
2025,11500,Gangseo-gu,10800,Gonghang-dong,1.0,Land,678.0,8.0,2025-03-27,26000,43.83,26.0,2.0,,,2016.0,Multiplex House,Brokerage Transaction,서울 강서구,1150010800,Character Greenville,강서구
2025,11500,Gangseo-gu,10300,Hwagok-dong,1.0,Land,42.0,118.0,2025-03-27,18500,48.58,35.0,2.0,,,2004.0,Multiplex House,Direct Transaction,,1150010300,Seomo Palace (42-118),강서구
2025,11380,Eunpyeong-gu,10700,Eungam-dong,1.0,Land,696.0,18.0,2025-03-27,24000,39.1,30.0,2.0,,,1989.0,Multiplex House,Brokerage Transaction,서울 은평구,1138010700,(696-18),은평구
2025,11440,Mapo-gu,12200,Hapjeong-dong,1.0,Land,438.0,1.0,2025-03-27,43500,37.95,24.0,6.0,,,2019.0,Multiplex House,Brokerage Transaction,서울 마포구,1144012200,Hongik Soluche,마포구
2025,11500,Gangseo-gu,10300,Hwagok-dong,1.0,Land,151.0,8.0,2025-03-27,22500,57.33,28.0,2.0,,,2002.0,Multiplex House,Brokerage Transaction,서울 강서구,1150010300,Hilltown (151-8),강서구
2025,11305,Gangbuk-gu,10200,Beon-dong,1.0,Land,470.0,1.0,2025-03-27,48750,59.77,0.0,6.0,,,1998.0,Apartment,Brokerage Transaction,서울 강북구,1130510200,samsung,강북구
2025,11200,Seongdong-gu,12200,Yongdap-dong,1.0,Land,238.0,12.0,2025-03-27,13500,21.95,29.63,7.0,,,2016.0,Officetel,Brokerage Transaction,서울 성동구,1120012200,Seohee Starhill Sribur Park,성동구
2025,11590,Dongjak-gu,10300,Sangdo 1(il)-dong,1.0,Land,481.0,3.0,2025-03-27,28500,71.41,43.0,3.0,,,1997.0,Multiplex House,Brokerage Transaction,서울 동작구,1159010300,Sambo Mansion,동작구
2025,11380,Eunpyeong-gu,10400,Galhyeon-dong,1.0,Land,506.0,13.0,2025-03-27,27500,54.46,34.0,2.0,,,2015.0,Multiplex House,Brokerage Transaction,서울 은평구,1138010400,Happy House,은평구
2025,11470,Yangcheon-gu,10200,Mok-dong,1.0,Land,557.0,31.0,2025-03-27,35000,60.44,32.0,1.0,,,2002.0,Multiplex House,Brokerage Transaction,서울 양천구,1147010200,Mokdong Goldville 1 -dong,양천구
2025,11440,Mapo-gu,12000,Seogyo-dong,1.0,Land,382.0,30.0,2025-03-27,15000,31.08,24.0,1.0,,,1988.0,Multiplex House,Brokerage Transaction,서울 마포구,1144012000,Seogyo Heights C dong,마포구
2025,11440,Mapo-gu,10900,Yeomni-dong,1.0,Land,82.0,18.0,2025-03-27,52000,18.51,9.0,5.0,,,2020.0,Multiplex House,Brokerage Transaction,서울 마포구,1144010900,Uno Feliche,마포구
2025,11680,Gangnam-gu,10100,Yeoksam-dong,1.0,Land,736.0,22.0,2025-03-27,14000,22.79,36.13,10.0,,,2006.0,Officetel,Brokerage Transaction,서울 강남구,1168010100,Maflower Membersville Officetel,강남구
2025,11230,Dongdaemun-gu,10600,Jangan-dong,1.0,Land,374.0,1.0,2025-03-27,12000,32.24,41.6,6.0,,,2004.0,Officetel,Brokerage Transaction,서울 동대문구,1123010600,Jangan Hyundai Venture Bill,동대문구
2025,11380,Eunpyeong-gu,10600,Daejo-dong,1.0,Land,9.0,40.0,2025-03-27,13800,19.34,0.0,9.0,,,2012.0,Apartment,Brokerage Transaction,서울 은평구,1138010600,Haeoreum City,은평구
2025,11500,Gangseo-gu,10300,Hwagok-dong,1.0,Land,818.0,16.0,2025-03-27,16500,36.85,20.0,2.0,,,2010.0,Multiplex House,Brokerage Transaction,서울 강서구,1150010300,Choiceville,강서구
2025,11470,Yangcheon-gu,10100,Sinjeong-dong,1.0,Land,311.0,0.0,2025-03-26,135800,53.82,0.0,5.0,,,1987.0,Apartment,Brokerage Transaction,서울 양천구,1147010100,Mokdong New Town 10,양천구
2025,11740,Gangdong-gu,10800,Seongnae-dong,1.0,Land,424.0,3.0,2025-03-26,20000,45.63,34.0,-1.0,,,1990.0,Multiplex House,Brokerage Transaction,서울 강동구,1174010800,Youngji Villa,강동구
2025,11440,Mapo-gu,11100,Sinsu-dong,1.0,Land,228.0,3.0,2025-03-26,57200,55.97,35.0,3.0,,,2022.0,Multiplex House,Brokerage Transaction,서울 동대문구,1144011100,Mineville,마포구
2025,11740,Gangdong-gu,10100,Myeongil-dong,1.0,Land,270.0,0.0,2025-03-26,123000,106.65,0.0,9.0,,,1984.0,Apartment,Brokerage Transaction,서울 강동구,1174010100,Samik Garden,강동구
2025,11290,Seongbuk-gu,13900,Seokgwan-dong,1.0,Land,405.0,0.0,2025-03-26,78000,114.84,0.0,11.0,,,1999.0,Apartment,Brokerage Transaction,서울 동대문구,1129013900,Kolon,성북구
2025,11440,Mapo-gu,12400,Yeonnam-dong,1.0,Land,573.0,0.0,2025-03-26,121500,102.158,0.0,10.0,,,2003.0,Apartment,Brokerage Transaction,서울 마포구,1144012400,Kolon,마포구
2025,11470,Yangcheon-gu,10200,Mok-dong,1.0,Land,528.0,26.0,2025-03-26,32500,52.12,30.0,4.0,,,2008.0,Multiplex House,Brokerage Transaction,서울 양천구,1147010200,(528-26),양천구
2025,11440,Mapo-gu,12500,Seongsan-dong,1.0,Land,593.0,11.0,2025-03-26,19500,21.96,34.37,4.0,,,2018.0,Officetel,Brokerage Transaction,서울 마포구,1144012500,Sangam Charis Daolim Officetel,마포구
2025,11380,Eunpyeong-gu,11400,Jingwan-dong,1.0,Land,100.0,3.0,2025-03-26,14500,24.91,35.78,14.0,,,2013.0,Officetel,Brokerage Transaction,서울 은평구,1138011400,I -Park Forest Gate,은평구
2025,11740,Gangdong-gu,10800,Seongnae-dong,1.0,Land,295.0,0.0,2025-03-26,89000,59.93,0.0,16.0,,,2002.0,Apartment,Brokerage Transaction,서울 강동구,1174010800,Seongan Village Claim,강동구
2025,11740,Gangdong-gu,10900,Cheonho-dong,1.0,Land,414.0,0.0,2025-03-26,15000,31.37,44.64,23.0,,,2004.0,Officetel,Brokerage Transaction,서울 강동구,1174010900,Doosan We've Centium,강동구
2025,11620,Gwanak-gu,10200,Sillim-dong,1.0,Land,1638.0,1.0,2025-03-26,16750,23.89,34.87,16.0,,,2011.0,Officetel,Brokerage Transaction,서울 관악구,1162010200,Sammo the Prime Tower,관악구
2025,11260,Jungnang-gu,10200,Sangbong-dong,1.0,Land,497.0,0.0,2025-03-26,82500,84.935,0.0,15.0,,,2003.0,Apartment,Brokerage Transaction,서울 중랑구,1126010200,Taeyoung Desian 1,중랑구
2025,11290,Seongbuk-gu,10300,Donam-dong,1.0,Land,609.0,1.0,2025-03-26,57800,59.58,0.0,2.0,,,1998.0,Apartment,Brokerage Transaction,서울 성북구,1129010300,Hanjin (609-1),성북구
2025,11740,Gangdong-gu,10600,Dunchon-dong,1.0,Land,630.0,0.0,2025-03-26,116000,59.98,0.0,14.0,,,2010.0,Apartment,Brokerage Transaction,서울 강동구,1174010600,Dunchon Prugio,강동구
2025,11470,Yangcheon-gu,10200,Mok-dong,1.0,Land,506.0,13.0,2025-03-26,32900,37.98,23.0,4.0,,,2013.0,Multiplex House,Brokerage Transaction,서울 양천구,1147010200,Human Highville,양천구
2025,11215,Gwangjin-gu,10300,Guui-dong,1.0,Land,556.0,2.0,2025-03-26,23000,52.92,29.0,4.0,,,2002.0,Multiplex House,Brokerage Transaction,서울 광진구,1121510300,Blue Saemvila (556-2),광진구
2025,11470,Yangcheon-gu,10100,Sinjeong-dong,1.0,Land,1309.0,0.0,2025-03-26,138500,84.73,0.0,8.0,,,2004.0,Apartment,Brokerage Transaction,"서울 서대문구, 서울 양천구",1147010100,Lotte Castle,양천구
2025,11680,Gangnam-gu,11200,Jagok-dong,1.0,Land,655.0,0.0,2025-03-26,14000,21.872,28.968,8.0,,,2014.0,Officetel,Brokerage Transaction,서울 강남구,1168011200,Gangnam Prugio City II,강남구
2025,11230,Dongdaemun-gu,10300,Jegi-dong,1.0,Land,1212.0,0.0,2025-03-26,93000,114.885,0.0,19.0,,,2004.0,Apartment,Brokerage Transaction,서울 동대문구,1123010300,Hanshin Apartment,동대문구
2025,11230,Dongdaemun-gu,10100,Sinseol-dong,1.0,Land,100.0,26.0,2025-03-26,15500,17.96,28.5,4.0,,,2018.0,Officetel,Brokerage Transaction,서울 동대문구,1123010100,Forest Hill City,동대문구
2025,11710,Songpa-gu,11300,Geoyeo-dong,1.0,Land,178.0,32.0,2025-03-26,25000,28.36,17.0,1.0,,,1993.0,Multiplex House,Brokerage Transaction,서울 송파구,1171011300,(178-32),송파구
2025,11290,Seongbuk-gu,13500,Jongam-dong,1.0,Land,80.0,0.0,2025-03-26,76000,59.99,0.0,8.0,,,2004.0,Apartment,Brokerage Transaction,서울 성북구,1129013500,Ramian Krishiel,성북구
2025,11560,Yeongdeungpo-gu,13000,Yangpyeong-dong 6(yuk)-ga,1.0,Land,101.0,0.0,2025-03-26,67000,73.15,0.0,3.0,,,2015.0,Apartment,Brokerage Transaction,서울 영등포구,1156013000,Seonyudo Samsung Home Town,영등포구
2025,11710,Songpa-gu,10700,Garak-dong,1.0,Land,3.0,9.0,2025-03-26,40000,36.63,23.0,6.0,,,2021.0,Multiplex House,Direct Transaction,,1171010700,Geumseong Rich Bill,송파구
2025,11590,Dongjak-gu,10700,Sadang-dong,1.0,Land,141.0,162.0,2025-03-26,67080,78.51,43.0,-1.0,,,1997.0,Multiplex House,Direct Transaction,,1159010700,Skip floor,동작구
2025,11350,Nowon-gu,10500,Sanggye-dong,1.0,Land,451.0,0.0,2025-03-26,32500,45.92,0.0,9.0,,,1988.0,Apartment,Brokerage Transaction,서울 노원구,1135010500,Hanshin 2nd,노원구
2025,11350,Nowon-gu,10400,Hagye-dong,1.0,Land,284.0,0.0,2025-03-26,36500,35.28,0.0,2.0,,,1988.0,Apartment,Brokerage Transaction,서울 노원구,1135010400,Hanshin 1,노원구
2025,11710,Songpa-gu,11100,Bangi-dong,1.0,Land,188.0,4.0,2025-03-26,43000,61.25,42.0,2.0,,,2009.0,Multiplex House,Direct Transaction,,1171011100,(188-4),송파구
2025,11200,Seongdong-gu,10800,Eungbong-dong,1.0,Land,265.0,3.0,2025-03-26,38000,58.79,31.0,1.0,,,1996.0,Multiplex House,Brokerage Transaction,서울 성동구,1120010800,(265-3),성동구
2025,11590,Dongjak-gu,10200,Sangdo-dong,1.0,Land,418.0,0.0,2025-03-26,94500,59.578,0.0,15.0,,,2003.0,Apartment,Brokerage Transaction,"서울 동작구, 서울 서초구",1159010200,Ssangyong Sweet Dot Home,동작구
2025,11410,Seodaemun-gu,11400,Sinchon-dong,1.0,Land,52.0,8.0,2025-03-26,71000,84.43,71.0,1.0,,,2017.0,Multiplex House,Brokerage Transaction,서울 마포구,1141011400,Florence Hill B,서대문구
2025,11410,Seodaemun-gu,11800,Hongeun-dong,1.0,Land,455.0,0.0,2025-03-26,71500,84.96,0.0,13.0,,,1997.0,Apartment,Brokerage Transaction,서울 서대문구,1141011800,Hongeun -dong Byunsan,서대문구
2025,11380,Eunpyeong-gu,10700,Eungam-dong,1.0,Land,739.0,0.0,2025-03-26,58200,59.73,0.0,11.0,,,1998.0,Apartment,Brokerage Transaction,서울 은평구,1138010700,Ngam Dong Geumho,은평구
2025,11560,Yeongdeungpo-gu,12600,Yangpyeong-dong 2(i)-ga,1.0,Land,1.0,1.0,2025-03-26,62000,88.61,111.54,10.0,,,2005.0,Officetel,Brokerage Transaction,서울 영등포구,1156012600,Shindong Ahai Palace,영등포구
2025,11740,Gangdong-gu,11000,Gangil-dong,1.0,Land,684.0,0.0,2025-03-26,100000,84.53,0.0,11.0,,,2009.0,Apartment,Brokerage Transaction,서울 강동구,1174011000,Kang Il River Park Complex 6,강동구
2025,11560,Yeongdeungpo-gu,13300,Daerim-dong,1.0,Land,695.0,0.0,2025-03-26,59800,79.91,0.0,2.0,,,1992.0,Apartment,Brokerage Transaction,서울 영등포구,1156013300,Woosung 2,영등포구
2025,11410,Seodaemun-gu,11800,Hongeun-dong,1.0,Land,10.0,209.0,2025-03-26,27000,45.3,39.0,3.0,,,2018.0,Multiplex House,Brokerage Transaction,"서울 서대문구, 서울 종로구",1141011800,Hongeun Grandville,서대문구
2025,11470,Yangcheon-gu,10100,Sinjeong-dong,1.0,Land,1327.0,0.0,2025-03-26,114000,59.918,0.0,11.0,,,2022.0,Apartment,Brokerage Transaction,서울 양천구,1147010100,Lakeside Summit Mok -dong,양천구
2025,11140,Jung-gu,16500,Hwanghak-dong,1.0,Land,19.0,0.0,2025-03-26,17000,23.61,31.95,6.0,,,,Officetel,Direct Transaction,,1114016500,1 main building water system,중구
2025,11140,Jung-gu,16500,Hwanghak-dong,1.0,Land,19.0,0.0,2025-03-26,15550,23.81,31.67,6.0,,,,Officetel,Direct Transaction,,1114016500,1 main building water system,중구
2025,11410,Seodaemun-gu,12000,Namgajwa-dong,1.0,Land,376.0,0.0,2025-03-26,71000,59.4,0.0,10.0,,,1999.0,Apartment,Brokerage Transaction,서울 서대문구,1141012000,Southern Ga -dong Hyundai,서대문구
2025,11350,Nowon-gu,10200,Wolgye-dong,1.0,Land,556.0,0.0,2025-03-26,63000,84.815,0.0,7.0,,,1992.0,Apartment,Brokerage Transaction,서울 노원구,1135010200,Jugong 2,노원구
2025,11740,Gangdong-gu,10500,Gil-dong,1.0,Land,343.0,1.0,2025-03-26,11950,16.959,0.0,7.0,,,2012.0,Apartment,Brokerage Transaction,서울 강동구,1174010500,Hyundai Wellheim (101),강동구
2025,11620,Gwanak-gu,10200,Sillim-dong,1.0,Land,98.0,135.0,2025-03-26,26500,28.04,19.0,2.0,,,2014.0,Multiplex House,Brokerage Transaction,서울 영등포구,1162010200,98-135,관악구
2025,11290,Seongbuk-gu,10700,Dongsomun-dong 4(sa)-ga,1.0,Land,279.0,0.0,2025-03-26,80000,84.87,0.0,5.0,,,1998.0,Apartment,Brokerage Transaction,서울 성북구,1129010700,Songsan Apartment,성북구
2025,11545,Geumcheon-gu,10200,Doksan-dong,1.0,Land,934.0,2.0,2025-03-26,21700,52.55,23.0,3.0,,20250326.0,1996.0,Multiplex House,Brokerage Transaction,서울 동대문구,1154510200,(Blue house),금천구
2025,11545,Geumcheon-gu,10200,Doksan-dong,1.0,Land,934.0,2.0,2025-03-26,21700,52.55,23.0,3.0,,,1996.0,Multiplex House,Brokerage Transaction,"서울 금천구, 서울 동대문구",1154510200,(Blue house),금천구
2025,11650,Seocho-gu,10100,Bangbae-dong,1.0,Land,861.0,4.0,2025-03-26,50000,77.25,52.0,3.0,,,1991.0,Multiplex House,Direct Transaction,,1165010100,Shinjin Housing Nadong,서초구
2025,11260,Jungnang-gu,10200,Sangbong-dong,1.0,Land,63.0,0.0,2025-03-26,70500,84.96,0.0,20.0,,,1996.0,Apartment,Brokerage Transaction,서울 중랑구,1126010200,Gunyoung 2nd apartment,중랑구
2025,11215,Gwangjin-gu,10400,Gwangjang-dong,1.0,Land,484.0,0.0,2025-03-26,120000,59.67,0.0,21.0,,,1990.0,Apartment,Brokerage Transaction,서울 광진구,1121510400,Hyundai 3,광진구
2025,11290,Seongbuk-gu,13400,Gireum-dong,1.0,Land,1276.0,0.0,2025-03-26,61500,59.94,0.0,5.0,,,1998.0,Apartment,Brokerage Transaction,서울 성북구,1129013400,Sambu Convinion,성북구
2025,11260,Jungnang-gu,10400,Muk-dong,1.0,Land,238.0,59.0,2025-03-26,20100,29.68,17.0,3.0,,,2013.0,Multiplex House,Brokerage Transaction,서울 중랑구,1126010400,Palace 2nd,중랑구
2025,11470,Yangcheon-gu,10100,Sinjeong-dong,1.0,Land,312.0,0.0,2025-03-26,178000,71.37,0.0,2.0,,,1987.0,Apartment,Brokerage Transaction,서울 양천구,1147010100,Mokdong New Town 9,양천구
2025,11530,Guro-gu,10800,Oryu-dong,1.0,Land,338.0,0.0,2025-03-26,58500,113.43,0.0,14.0,,,1998.0,Apartment,Brokerage Transaction,"서울 구로구, 서울 양천구",1153010800,East Golden,구로구
2025,11470,Yangcheon-gu,10200,Mok-dong,1.0,Land,534.0,13.0,2025-03-26,28500,43.87,26.0,1.0,,,1992.0,Multiplex House,Brokerage Transaction,서울 양천구,1147010200,Lee Jung Green Villa,양천구
2025,11440,Mapo-gu,10400,Dohwa-dong,1.0,Land,556.0,0.0,2025-03-26,21400,46.99,61.72,13.0,,,2005.0,Officetel,Direct Transaction,,1144010400,SK Hub Green,마포구
2025,11470,Yangcheon-gu,10200,Mok-dong,1.0,Land,902.0,0.0,2025-03-26,240000,95.67,0.0,12.0,,,1986.0,Apartment,Brokerage Transaction,"서울 양천구, 서울 영등포구",1147010200,Mokdong New Town 2,양천구
2025,11470,Yangcheon-gu,10100,Sinjeong-dong,1.0,Land,329.0,0.0,2025-03-26,170000,71.37,0.0,5.0,,,1987.0,Apartment,Brokerage Transaction,서울 양천구,1147010100,Mokdong New Town 14,양천구
2025,11470,Yangcheon-gu,10100,Sinjeong-dong,1.0,Land,329.0,0.0,2025-03-26,135500,55.02,0.0,9.0,,,1987.0,Apartment,Brokerage Transaction,서울 양천구,1147010100,Mokdong New Town 14,양천구
2025,11470,Yangcheon-gu,10100,Sinjeong-dong,1.0,Land,327.0,0.0,2025-03-26,170000,70.73,0.0,6.0,,,1987.0,Apartment,Brokerage Transaction,서울 양천구,1147010100,Mokdong New Town 13,양천구
2025,11410,Seodaemun-gu,11700,Yeonhui-dong,1.0,Land,185.0,7.0,2025-03-26,24500,53.8,23.0,4.0,,,1993.0,Multiplex House,Brokerage Transaction,서울 서대문구,1141011700,Member villa,서대문구
2025,11200,Seongdong-gu,10800,Eungbong-dong,1.0,Land,265.0,15.0,2025-03-26,35000,46.62,18.0,4.0,,,1994.0,Multiplex House,Brokerage Transaction,서울 성동구,1120010800,Placement,성동구
2025,11170,Yongsan-gu,11000,Cheongpa-dong 2(i)-ga,1.0,Land,8.0,1.0,2025-03-26,53500,13.15,13.0,3.0,,,2025.0,Multiplex House,Brokerage Transaction,서울 용산구,1117011000,Happiness,용산구
2025,11320,Dobong-gu,10500,Ssangmun-dong,1.0,Land,31.0,10.0,2025-03-26,17500,58.73,37.0,4.0,,,2004.0,Multiplex House,Direct Transaction,,1132010500,Cheonil Artville,도봉구
2025,11410,Seodaemun-gu,11800,Hongeun-dong,1.0,Land,412.0,20.0,2025-03-25,29750,28.11,19.0,4.0,,,2018.0,Multiplex House,Brokerage Transaction,서울 서대문구,1141011800,Happiness (412-20),서대문구
2025,11530,Guro-gu,10600,Gocheok-dong,1.0,Land,57.0,9.0,2025-03-25,22000,48.04,0.0,4.0,,,1976.0,Apartment,Brokerage Transaction,서울 구로구,1153010600,Industrial,구로구
2025,11590,Dongjak-gu,10700,Sadang-dong,1.0,Land,1154.0,0.0,2025-03-25,90000,84.73,0.0,2.0,,,2009.0,Apartment,Brokerage Transaction,서울 동작구,1159010700,Sadang Humansia,동작구
2025,11290,Seongbuk-gu,12400,Anam-dong 4(sa)-ga,,,,,2025-03-25,369000,307.83,448.0,0.0,,,1989.0,Detached House,Brokerage Transaction,서울 종로구,1129012400,Nan,성북구
2025,11410,Seodaemun-gu,12000,Namgajwa-dong,,,,,2025-03-25,130000,298.92,112.0,0.0,,,1994.0,Detached House,Brokerage Transaction,서울 서대문구,1141012000,Nan,서대문구
